,descriptors,random_forest,svm,tpot,neural,neural_all
0,pKi,0.739325574048611,0.7934635648923551,0.7292688639731317,0.8668557844137101,0.7271117379872847
1,fsp3,0.0440398975299229,0.0643887432723246,0.0380596553507341,0.30022135900799457,0.04069708230282187
2,n_lipinski_hba,0.5529716940359378,0.5045715443367023,0.4640210190235,0.5603160213443231,0.45348685585408893
3,n_lipinski_hbd,0.2002723356137246,0.2290606625221503,0.1910629083529854,0.423760990595368,0.17918802125609445
4,n_rings,0.3733946817711795,0.3725972898725145,0.3567833263341315,0.4276662664128143,0.3183868407677733
5,n_hetero_atoms,0.6595744210214618,0.5890841628037069,0.5629435674984625,0.760114439407208,0.5388211820757731
6,n_heavy_atoms,2.21577491893581,2.597579276696109,2.0175846381926257,2.214061251701935,1.909866550132265
7,n_rotatable_bonds,0.7287246969827195,0.7808628040182175,0.6647222262943426,0.921392683775098,0.6293286420527437
8,tpsa,7.191903227596302,13.543161642880564,6.056466668051277,6.211029986310719,5.915113928387966
9,qed,0.0673860695708014,0.0781314591728948,0.0638154016218452,0.14930587494872624,0.06950885520493115
10,clogp,0.6292274173296046,0.6038289372157575,0.5779945181064077,0.6963367660254868,0.5645300801978581
11,sas,0.1986290203400007,0.1861618834129864,0.1795917337164333,0.281338441139043,0.16700147930422082
12,n_aliphatic_carbocycles,0.1776085854766524,0.2479759162874707,0.1637871869703685,0.32269278617632957,0.1409918585817176
13,n_aliphatic_heterocyles,0.1705741020494557,0.2035614284045007,0.1617087765077686,0.3474074755532361,0.19273035406184533
14,n_aliphatic_rings,0.2466878665920222,0.2810086240494201,0.21002174873436,0.36980787442239405,0.19635281207840863
15,n_aromatic_carbocycles,0.3716329611714874,0.3759420972925439,0.343561455392016,0.4970209801369479,0.34443728056504824
16,n_aromatic_heterocyles,0.3281452938628627,0.3461131160525712,0.3122032962943138,0.43397066397296036,0.30868784305262614
17,n_aromatic_rings,0.3746551263467598,0.3643422616781666,0.3475795008517902,0.44788764851518287,0.3344180567240233
18,n_saturated_carbocycles,0.1517909474493001,0.2292262976665871,0.1375604959724103,0.27929369011389865,0.15818374868363308
19,n_saturated_heterocyles,0.1368899324226405,0.1545292634915162,0.1283348335123284,0.2550942258256798,0.1361951087757329
20,n_saturated_rings,0.2033612494804758,0.2296929512658054,0.1771317537140093,0.40136289443424744,0.1482532572027273
